question,answer
B股的交收规则？,您好，B股交易实行T+3交收原则，例如： 1）买入：周一买入，周二可卖出，周四日终股份交收； 2）卖出：周一卖出，当天资金可用，周四日终资金交收，周五资金可取。
A股账户销户有哪些注意事项？,A股销户有以下注意事项： 1、待注销证券账户的证券余额必须已提前清空，且当天无下单操作。包括普通账户、信用账户、衍生品合约账户和对应开放式基金账户，广发证券和其他券商，都不能有委托或新股申购等操作行为。 2、不存在与该证券账户相关的未了结业务；若需同时注销资金账户有以下注意事项： 1、资金账户持有余额为零； 2、不存在与该资金账户相关的未了结业务。如：已申报配股交易，或已参与新股、基金申购尚未处理完毕；存在买断式回购交易、约定购回交易、质押式回购交易、融资融券及转融通等未了结业务；存在其他在途权益或具有中国结算规定的其他未交收、待交收、待处置业务等未了结业务情况。
A股账户如何转户？,如果您要转户到广发证券其他营业部或其他券商，业务流程为： 1、您可以在交易时间携带身份证等相关材料到营业部柜台办理。 2、营业部受理您的申请后，需先为您办理上海账户撤消指定交易手续；若有深市证券需办理转托管手续，需提供转入营业部深圳席位号，转托管费用为10元/次。若是转户至广发证券其他营业部，需取消登记深圳账户，另外还需办理注销三方存管，最后注销资金账户。办理当天不能有交易、在途业务及未完善的账户情况。 3、办理转托管、撤销指定交易并销户一般需要2-3个工作日。如果您的开放式基金须办理转托管，因开放式基金转托管一般是T+2日才能确认是否成功，成功后销户也需要T+2日，即至少要5个工作日才能完成整个流程。
A股停牌原因有哪些？,您好，一般来说，停牌原因一般在停牌公告中会有说明，具体可关注上市公司的公告。 股票停牌大概有如下几种情况： ①由于重大事项引发的停牌，时间长短一不，一般最长不超过20个交易日。 ②由于澄清媒体报道引发的停牌，时间不会很长，短的第二天停一个小时，长的也就几个交易日。 ③由于公司重组、合并引发的停牌，这类停牌时间较长，如广发证券借壳延边公路，停了三年左右的时间。 ④由于召开股东大会的停牌，最为常见，一般是一个交易日。 具体股票停牌原因及何时复牌请关注上市公司的公告。
A股开户是否收费？,A股开户费为20元/户，沪深两市分别收取，合计40元。如果您使用自助开户方式，开户费会在销户或转户时收龋
A股和港股通退市制度的区别,您好，沪港两地股票市场均有退市制度。在A股市场，存在根据上市公司的财务状况在证券简称前加入相应标记（例如，ST及*ST等标记）以警示投资者风险的做法。但是，在香港联交所市场，没有风险警示板，香港联交所采用非量化的退市标准且在上市公司退市过程中拥有相对较大的主导权。这使得香港联交所上市公司的退市情形较A股市场相对复杂。
A股和港股的显示颜色有什么区别？,A股：红色代表股价上涨，绿色代表股价下跌。港股：股份上涨时，报价屏幕上显示的颜色为绿色，下跌时则为红色。为适应A股客户的交易习惯，广发证券行情软件的港股通行情走势颜色已调整初始设置，股票上涨时显示红色，股票下跌时显示绿色。
A股股票配股与增发的缴款时间有何区别？,增发缴款时间只有一天；配股缴款时间一般有5天。具体以上市公司公告为准。
70岁以上自然人可以手机开户吗?,如果您的年龄在70周岁（含）以上且80周岁以下的，系统会提示优先选择到广发营业部现场临柜办理开户业务。若您坚持网上开户，请点击继续网上开户后可继续操作开户；若您的年龄超过80周岁（含）无法通过网上进行开户，请到营业部现场临柜办理开户业务。
60岁以上如何开立信用账户？,若您年满60周岁以上至70周岁的申请人不建议其申请融资融券业务。若您坚持要求开立信用账户，须到营业部进行特别征信调查，详情请您咨询开户营业部。若为70岁以上禁止申请开立融资融券信用账户。
*st股票在什么情况下退市？,因条款内容较多，建议您可以登录以下链接进行详细查阅：链接如下：《上海证券交易所股票上市规则（2014年修订）》http:\\www.sse.com.cn\lawandrules\sserules\listing\stock\c\c_20150912_3985869.shtml《深圳证券交易所股票上市规则（2014年修订）》：http:\\www.szse.cn\main\files\2017\02\13\%E6%B7%B1%E5%9C%B3%E8%AF%81%E5%88%B8%E4%BA%A4%E6%98%93%E6%89%80%E8%82%A1%E7%A5%A8%E4%B8%8A%E5%B8%82%E8%A7%84%E5%88%99%EF%BC%882014%E5%B9%B4%E4%BF%AE%E8%AE%A2%EF%BC%89.pdf
